SignalType,Xsections,N_orig,Group,EOSDirectory
LQToCMu_M-300,1.89,50160,LQuujj300,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-350,0.77,50160,LQuujj350,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-400,0.342,45144,LQuujj400,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-450,0.163,50160,LQuujj450,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-500,0.082,50160,LQuujj500,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-550,0.0431,50160,LQuujj550,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-600,0.0235,50160,LQuujj600,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-650,0.0132,50160,LQuujj650,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-700,0.00761,50160,LQuujj700,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-750,0.00448,50160,LQuujj750,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-800,0.00269,50160,LQuujj800,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-850,0.00164,50160,LQuujj850,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-900,0.00101,50160,LQuujj900,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-950,0.000635,50160,LQuujj950,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-1000,0.000401,48720,LQuujj1000,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-1050,0.000256,50160,LQuujj1050,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-1100,0.000165,50160,LQuujj1100,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-1150,0.000107,50160,LQuujj1150,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_M-1200,7E-05,50160,LQuujj1200,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaOne_20121015_173433/
LQToCMu_MuNuJJFilter_M-300,0.945,17507,LQuvjj300,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-350,0.385,20008,LQuvjj350,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-400,0.171,25154,LQuvjj400,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-450,0.0815,10012,LQuvjj450,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-500,0.041,25168,LQuvjj500,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-550,0.02155,20048,LQuvjj550,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-600,0.01175,25284,LQuvjj600,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-650,0.0066,25088,LQuvjj650,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-750,0.00224,25035,LQuvjj750,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-800,0.001345,22648,LQuvjj800,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-850,0.00082,25100,LQuvjj850,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-900,0.000505,22797,LQuvjj900,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-950,0.000318,24935,LQuvjj950,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-1000,0.0002,22277,LQuvjj1000,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-1050,0.000128,25040,LQuvjj1050,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-1100,8.2E-05,25171,LQuvjj1100,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-1150,5.3E-05,22570,LQuvjj1150,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
LQToCMu_MuNuJJFilter_M-1200,3.5E-05,25078,LQuvjj1200,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-Summer12MC_LQToCMu_BetaHalf_20121126_034456/
