SignalType,Xsections,N_orig,Group,SigOrBG,MassOfLQ,HTRemoveIfGreater,CastorDirectory,DressedFile
TTJets_TuneZ2_7TeV-madgraph,165,3627909,TTBar,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_TTBarJets_MG_20110903_030731,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
DYJetsToLL_TuneZ2_M-50_7TeV-madgraph,3048,36731431,ZJets_MG,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ZJets_MG_20110909_183645,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
WJetsToLNu_TuneZ2_7TeV-madgraph,31314,79681217,WJets_MG,0,0,999999999,/store/group/phys_smp/WPlusJets/ntuples/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsMadGraph_20130513_034523,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#WJetsToLNu_TuneZ2_7TeV-madgraph,31314,75942667,WJets_MG,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJets_MG_20110903_034409,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
T_TuneZ2_t-channel,42.6,3744165,SingleTop,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
T_TuneZ2_s-channel,2.97,259971,SingleTop,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
T_TuneZ2_tW-channel-DR,5.3,814390,SingleTop,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
Tbar_TuneZ2_t-channel,22,1944826,SingleTop,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
Tbar_TuneZ2_s-channel,1.63,137980,SingleTop,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
Tbar_TuneZ2_tW-channel-DR,5.3,809984,SingleTop,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
WW,43,4120269,DiBoson,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
ZZ,5.9,3978491,DiBoson,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
WZ,18.2,4265243,DiBoson,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
SingleMu__Run2011A-May10ReReco-v1,1,1,SingleMuData,2,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-DATA-Run2011A_20111208_234746,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
SingleMu__Run2011A-PromptReco-v4,1,1,SingleMuData,2,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-DATA-Run2011A_20111208_234746,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
SingleMu__Run2011A-05Aug2011-v1,1,1,SingleMuData,2,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-DATA-Run2011A_20111208_234746,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
SingleMu__Run2011A-PromptReco-v6,1,1,SingleMuData,2,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-DATA-Run2011A_20111208_234746,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
SingleMu__Run2011B-PromptReco-v1,1,1,SingleMuData,2,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-DATA-Run2011B_20111208_235519,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#TTjets_TuneZ2_scaledown,165,967055,TTJets_ScaleDown,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
#TTjets_TuneZ2_scaleup,165,911874,TTJets_ScaleUp,0,0,999999999,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ShapeSys_MG_20111208_222140,/afs/cern.ch/work/d/darinb/LQAnalyzerOutput/GenTuples/GenPatch_MadGraphDressedMuskimMod.root
