SignalType,Xsections,N_orig,Group,SigOrBG,MassOfLQ,RescalingInfo,CastorDirectory
SingleMu__Run2011A-May10ReReco-v1,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/dnash/LQ/RootNtuple/RootNtuple-V00-02-06-DATA-160404-178421_20111028_135626
SingleMu__Run2011A-PromptReco-v4,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/dnash/LQ/RootNtuple/RootNtuple-V00-02-06-DATA-160404-178421_20111028_135626
SingleMu__Run2011A-05Aug2011-v1,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/dnash/LQ/RootNtuple/RootNtuple-V00-02-06-DATA-160404-178421_20111028_135626
SingleMu__Run2011A-PromptReco-v6,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/dnash/LQ/RootNtuple/RootNtuple-V00-02-06-DATA-160404-178421_20111028_135626
TTJets,165,3627909,TTBar,0,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_TTBarJets_MG_20110716_002523
DYJetsToLL,3048,36731431,ZJets_MG,0,0,0,/castor/cern.ch/user/e/eberry/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_ZJets_MG_20110909_183645
WJetsToLNu,31314,75942667,WJets_MG,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_WJets_MG_20110903_034409
DYToLL,3048,175414615,ZJet_Sherpa,0,0,0,/castor/cern.ch/user/e/eberry/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_ZJets_SHERPA_20110915_104308
WToLNu,31314,372158246,WJets_Sherpa,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_WJets_SHERPA_20110903_031551
T_TuneZ2_t-channel,42.6,3744165,SingleTop,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
T_TuneZ2_s-channel,2.97,259971,SingleTop,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
T_TuneZ2_tW-channel-DR,5.3,814390,SingleTop,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
Tbar_TuneZ2_t-channel,22,1944826,SingleTop,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
Tbar_TuneZ2_s-channel,1.63,137980,SingleTop,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
Tbar_TuneZ2_tW-channel-DR,5.3,809984,SingleTop,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
WW,43,4120269,DiBoson,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914
ZZ,5.9,3978491,DiBoson,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914
WZ,18.2,4265243,DiBoson,0,0,0,/castor/cern.ch/user/s/santanas/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914
QCD_Pt-15to20_MuPt5Enriched,1668096,2524072,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
QCD_Pt-20to30_MuPt5Enriched,1342184,9586551,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
QCD_Pt-30to50_MuPt5Enriched,596506.8,12860677,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
QCD_Pt-50to80_MuPt5Enriched,140039,9747189,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
QCD_Pt-80to120_MuPt5Enriched,28509.9,8812226,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
QCD_Pt-120to150_MuPt5Enriched,4522.95,7853488,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
QCD_Pt-150_MuPt5Enriched,2870.5,4045565,QCDMu,0,0,0,/castor/cern.ch/user/p/prumerio/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_QCDMuEnriched_PYTHIA_20110922_155328
LQToCMu_M-250_7TeV-pythia6__Summer11,3.47,50388,LQToCMu_M_250,1,250,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-350_7TeV-pythia6__Summer11,0.477,56279,LQToCMu_M_350,1,350,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-400_7TeV-pythia6__Summer11,0.205,58680,LQToCMu_M_400,1,400,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-450_7TeV-pythia6__Summer11,0.0948,68566,LQToCMu_M_450,1,450,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-500_7TeV-pythia6__Summer11,0.0463,59998,LQToCMu_M_500,1,500,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-550_7TeV-pythia6__Summer11,0.0236,73564,LQToCMu_M_550,1,550,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-600_7TeV-pythia6__Summer11,0.0124,66528,LQToCMu_M_600,1,600,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-650_7TeV-pythia6__Summer11,0.00676,58270,LQToCMu_M_650,1,650,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-750_7TeV-pythia6__Summer11,0.00214,69539,LQToCMu_M_750,1,750,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_M-850_7TeV-pythia6__Summer11,0.000732,61848,LQToCMu_M_850,1,850,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaOne_NoFilter_20110928_215444
LQToCMu_MuNuJJFilter_M-250_7TeV-pythia6__Summer11,1.735,67871,LQToCMu_BetaHalf_M_250,1,250,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaHalf_NoFilter_20110928_222056
LQToCMu_MuNuJJFilter_M-350_7TeV-pythia6__Summer11,0.2385,53414,LQToCMu_BetaHalf_M_350,1,350,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaHalf_NoFilter_20110928_222056
LQToCMu_MuNuJJFilter_M-400_7TeV-pythia6__Summer11,0.1025,55181,LQToCMu_BetaHalf_M_400,1,400,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaHalf_NoFilter_20110928_222056
LQToCMu_MuNuJJFilter_M-450_7TeV-pythia6__Summer11,0.0474,53180,LQToCMu_BetaHalf_M_450,1,450,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaHalf_NoFilter_20110928_222056
LQToCMu_MuNuJJFilter_M-500_7TeV-pythia6__Summer11,0.02315,64513,LQToCMu_BetaHalf_M_500,1,500,0,/castor/cern.ch/user/d/darinb/LeptonsPlusJets/RootNtuple2011/RootNtuple-V00-02-06-Summer11MC_LQToCMu_BetaHalf_NoFilter_20110928_222056
