SignalType,Xsections,N_orig,FilterEffs,HLTBit,SigOrBG,MassOfLQ,CastorDirectory
#WJets_Z2_NoPileup,24640,15123740,1,1,0,0
#WJets_Z2_WithPileup,24640,15168266,1,1,0,0
#WPlusPowhegPU,5775,1997318,1,1,0,0
#WMinusPowhegPU,3944,1996548,1,1,0,0
#WPlusPowheg,5755,1991320,1,1,0,0
#WMinusPowheg,3944,1986566,1,1,0,0
#DYMuMu,2289,2289913,1,1,0,0
#DY,2289,2509827,1,1,0,0
#LQToCMu_MuNuJJFilter_M_200,11.9,108928,0.5,1,1,200
#LQToCMu_MuNuJJFilter_M_225,6.26,98981,0.5,1,1,225
#LQToCMu_MuNuJJFilter_M_250,3.48,111609,0.5,1,1,250
#LQToCMu_MuNuJJFilter_M_280,1.82,105830,0.5,1,1,280
#LQToCMu_MuNuJJFilter_M_300,1.21,108351,0.5,1,1,300
#LQToCMu_MuNuJJFilter_M_320,0.824,105720,0.5,1,1,320
#LQToCMu_MuNuJJFilter_M_340,0.57,106315,0.5,1,1,340
#LQToCMu_MuNuJJFilter_M_370,0.337,105956,0.5,1,1,340
#LQToCMu_MuNuJJFilter_M_400,0.206,101985,0.5,1,1,400
#LQToCMu_MuNuJJFilter_M_450,0.0949,104333,0.5,1,1,450
#LQToCMu_MuNuJJFilter_M_500,0.0463,108442,0.5,1,1,500
#LQToCMu_MuNuJJFilter_M_600,0.0124,106182,0.5,1,1,600
#LQToCMu_M_300,1.21,54750,1,1,1,400
#LQToCMu_M_400,0.206,54795,1,1,1,400
